id,names,rVals,pVals,fVals
17,OverallQual,0.625651892,2.18567526799377e-313,2436.770591
46,GrLivArea,0.50214865,4.52E-223,1470.58501
27,ExterQual,0.465996334,7.33E-201,1272.318336
53,KitchenQual,0.435071792,5.05E-183,1122.85891
30,BsmtQual,0.414760866,1.61E-167,1007.067295
61,GarageCars,0.41012394,2.50E-169,1013.705666
62,GarageArea,0.388666759,5.27E-158,926.9512873
38,TotalBsmtSF,0.376481093,9.48E-152,880.3412824
43,X1stFlrSF,0.36705687,5.39E-147,845.5244877
49,FullBath,0.314343855,1.24E-121,668.4302965
6,Alley,0.285496726,4.90E-08,35.56206043
54,TotRmsAbvGrd,0.284860407,2.77E-108,580.7628008
19,YearBuilt,0.273421621,2.99E-103,548.6658211
60,GarageFinish,0.263277061,1.82E-93,492.0879945
20,YearRemodAdd,0.257151391,3.16E-96,504.7148547
59,GarageYrBlt,0.236547681,8.71E-83,426.6489854
26,MasVnrArea,0.22799961,1.46E-83,428.2373932
56,Fireplaces,0.218022539,6.14E-80,406.5038661
72,PoolQC,0.200646341,0.313496066,1.255053626
40,HeatingQC,0.182883417,5.53E-66,326.3231067
34,BsmtFinSF1,0.149320267,3.39E-53,255.9235165
29,Foundation,0.146290179,4.58E-52,249.8402563
58,GarageType,0.128363865,4.98E-43,202.7876482
32,BsmtExposure,0.12457967,5.62E-43,202.0779337
3,LotFrontage,0.123762604,2.60E-36,169.3506387
66,WoodDeckSF,0.105244083,3.97E-37,171.4946726
44,X2ndFlrSF,0.101974078,5.76E-36,165.5611508
67,OpenPorchSF,0.099765156,3.49E-35,161.5773914
57,FireplaceQu,0.087494121,5.16E-17,73.6384128
50,HalfBath,0.080717171,1.65E-28,128.0189645
33,BsmtFinType1,0.072350912,8.64E-24,105.0576982
4,LotArea,0.069613315,1.12E-24,109.0903551
7,LotShape,0.06532107,3.32E-23,101.8939417
41,CentralAir,0.063165846,1.81E-22,98.30534357
42,Electrical,0.055220128,9.39E-20,85.15817158
65,PavedDrive,0.053526039,3.42E-19,82.45442414
47,BsmtFullBath,0.051584509,1.55E-18,79.30091242
21,RoofStyle,0.049464114,8.06E-18,75.87159981
37,BsmtUnfSF,0.046001287,1.18E-16,70.30394811
79,SaleCondition,0.045408213,1.87E-16,69.35443571
16,HouseStyle,0.032458571,4.06E-12,48.91221696
73,Fence,0.029928786,0.003625441,8.607750937
12,Neighborhood,0.029220933,4.88E-11,43.88652625
51,BedroomAbvGr,0.028295665,9.93E-11,42.45641241
2,MSZoning,0.027846332,1.40E-10,41.76289554
31,BsmtCond,0.025810877,1.10E-09,37.64901067
63,GarageQual,0.024552549,4.93E-09,34.65984814
52,KitchenAbvGr,0.018470813,1.86E-07,27.43723404
22,RoofMatl,0.017525288,3.85E-07,26.00766215
68,EnclosedPorch,0.016532291,8.26E-07,24.50927514
64,GarageCond,0.015628196,3.22E-06,21.861684
70,ScreenPorch,0.012420338,1.97E-05,18.3365999
74,MiscFeature,0.011986997,0.430640493,0.630886275
55,Functional,0.011581826,3.78E-05,17.08416844
24,Exterior2nd,0.010767287,7.12E-05,15.86957625
23,Exterior1st,0.010722812,7.37E-05,15.80331576
39,Heating,0.009763826,0.000155806,14.37602384
71,PoolArea,0.008538416,0.000407349,12.5562207
13,Condition1,0.008309218,0.000487918,12.21634799
15,BldgType,0.007325752,0.001061793,10.75977013
1,MSSubClass,0.007103815,0.001266472,10.43146611
18,OverallCond,0.00606154,0.002912351,8.891622595
10,LotConfig,0.004542224,0.009997322,6.652780922
11,LandSlope,0.002616552,0.050685854,3.824941697
78,SaleType,0.00253709,0.054330738,3.708486248
76,MoSold,0.002155953,0.076127579,3.150171675
69,X3SsnPorch,0.001987703,0.088581704,2.903843266
5,Street,0.001683915,0.117048604,2.459289558
35,BsmtFinType2,0.001180782,0.202707056,1.624312216
77,YrSold,0.000836516,0.269413193,1.220661333
45,LowQualFinSF,0.000655674,0.32820731,0.956599754
75,MiscVal,0.000448998,0.418486349,0.654933564
28,ExterCond,0.000357177,0.470552593,0.52094967
48,BsmtHalfBath,0.000283726,0.520153636,0.413789231
25,MasVnrType,0.000282574,0.522147468,0.409848674
8,LandContour,0.000238803,0.555192643,0.348257469
9,Utilities,0.000204899,0.584716774,0.298804075
36,BsmtFinSF2,0.000129462,0.663998651,0.188779522
14,Condition2,5.64E-05,0.774250651,0.082295875
